MA05 OA 01;17639;Representar y describir números naturales
MA05 OA 03;17641;Comprender multiplicación de números naturales
MA05 OA 04;17642;Comprender división con dividendos
MA05 OA 06;17644;Resolver problemas con operaciones aritméticas
MA05 OA 07;17645;Comprender fracciones y sus equivalentes
MA05 OA 10;17648;Calcular decimales de fracciones
MA05 OA 11;17649;Comparar y ordenar decimales
MA05 OA 13;17651;Resolver problemas con fracciones decimales
MA05 OA 14;17652;Identificar reglas y patrones
MA05 OA 15;17653;Resolver problemas con ecuaciones
MA05 OA 17;17655;Describir figuras y sus características
MA05 OA 18;17656;Comprender concepto de congruencia
MA05 OA 19;17657;Medir longitudes en problemas
MA05 OA 21;17659;Diseñar y construir rectángulos
MA05 OA 22;17660;Calcular áreas de figuras irregulares
MA05 OA 23;17661;Calcular promedio de datos
MA05 OA 24;17662;Describir posibilidad de eventos
MA05 OA 26;17664;Interpretar y completar gráficos
